q		。
w		か
e		た
r		こ
t		さ
y		ら
u		ち
i		く
o		つ
p		，
a		う
s		し
d		て
f		け
g		せ
h		は
j		と
k		き
l		い
;		ん
z		．
x		ひ
c		す
v		ふ
b		へ
n		め
m		そ
,		ね
.		ほ
/		・
。{!}	。	
か{!}	か	
た{!}	た	
こ{!}	こ	
さ{!}	さ	
ら{!}	ら	
ち{!}	ち	
く{!}	く	
つ{!}	つ	
，{!}	，	
う{!}	う	
し{!}	し	
て{!}	て	
け{!}	け	
せ{!}	せ	
は{!}	は	
と{!}	と	
き{!}	き	
い{!}	い	
ん{!}	ん	
．{!}	．	
ひ{!}	ひ	
す{!}	す	
ふ{!}	ふ	
へ{!}	へ	
め{!}	め	
そ{!}	そ	
ね{!}	ね	
ほ{!}	ほ	
・{!}	・	
。{f18}	ぁ	
か{f18}	え	
た{f18}	り	
こ{f18}	ゃ	
さ{f18}	れ	
ら{f18}	ぱ	
ち{f18}	ぢ	
く{f18}	ぐ	
つ{f18}	づ	
，{f18}	ぴ	
う{f18}	を	
し{f18}	あ	
て{f18}	な	
け{f18}	ゅ	
せ{f18}	も	
は{f18}	ば	
と{f18}	ど	
き{f18}	ぎ	
い{f18}	ぽ	
ん{f18}		
．{f18}	ぅ	
ひ{f18}	ー	
す{f18}	ろ	
ふ{f18}	や	
へ{f18}	ぃ	
め{f18}	ぷ	
そ{f18}	ぞ	
ね{f18}	ぺ	
ほ{f18}	ぼ	
・{f18}		
{f18}q	ぁ	
{f18}w	え	
{f18}e	り	
{f18}r	ゃ	
{f18}t	れ	
{f18}y	ぱ	
{f18}u	ぢ	
{f18}i	ぐ	
{f18}o	づ	
{f18}p	ぴ	
{f18}a	を	
{f18}s	あ	
{f18}d	な	
{f18}f	ゅ	
{f18}g	も	
{f18}h	ば	
{f18}j	ど	
{f18}k	ぎ	
{f18}l	ぽ	
{f18};		
{f18}z	ぅ	
{f18}x	ー	
{f18}c	ろ	
{f18}v	や	
{f18}b	ぃ	
{f18}n	ぷ	
{f18}m	ぞ	
{f18},	ぺ	
{f18}.	ぼ	
{f18}/		
。{f19}		
か{f19}	が	
た{f19}	だ	
こ{f19}	ご	
さ{f19}	ざ	
ら{f19}	よ	
ち{f19}	に	
く{f19}	る	
つ{f19}	ま	
，{f19}	ぇ	
う{f19}	ゔ	
し{f19}	じ	
て{f19}	で	
け{f19}	げ	
せ{f19}	ぜ	
は{f19}	み	
と{f19}	お	
き{f19}	の	
い{f19}	ょ	
ん{f19}	っ	
．{f19}		
ひ{f19}	び	
す{f19}	ず	
ふ{f19}	ぶ	
へ{f19}	べ	
め{f19}	ぬ	
そ{f19}	ゆ	
ね{f19}	む	
ほ{f19}	わ	
・{f19}	ぉ	
{f19}q		
{f19}w	が	
{f19}e	だ	
{f19}r	ご	
{f19}t	ざ	
{f19}y	よ	
{f19}u	に	
{f19}i	る	
{f19}o	ま	
{f19}p	ぇ	
{f19}a	ゔ	
{f19}s	じ	
{f19}d	で	
{f19}f	げ	
{f19}g	ぜ	
{f19}h	み	
{f19}j	お	
{f19}k	の	
{f19}l	ょ	
{f19};	っ	
{f19}z		
{f19}x	び	
{f19}c	ず	
{f19}v	ぶ	
{f19}b	べ	
{f19}n	ぬ	
{f19}m	ゆ	
{f19},	む	
{f19}.	わ	
{f19}/	ぉ	
{!}		
{f18}{!}		
{f19}{!}		
